표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7098120009","098120","(주)마이크로컨텍솔루션","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","2008/09/23","KOSDAQ","주권","중견기업부","보통주","500","8312766"
"KR7009520008","009520","(주)포스코엠텍","포스코엠텍","POSCO M-TECH CO.,LTD.","1997/11/10","KOSDAQ","주권","우량기업부","보통주","500","41642703"
"KR7095570008","095570","AJ네트웍스보통주","AJ네트웍스","AJ Networks Co.,Ltd.","2015/08/21","KOSPI","주권",,"보통주","1000","45252759"
"KR7006840003","006840","AK홀딩스보통주","AK홀딩스","AK Holdings, Inc.","1999/08/11","KOSPI","주권",,"보통주","5000","13247561"
"KR7282330000","282330","BGF리테일보통주","BGF리테일","BGF Retail","2017/12/08","KOSPI","주권",,"보통주","1000","17283906"
"KR7027410000","027410","BGF보통주","BGF","BGF","2014/05/19","KOSPI","주권",,"보통주","1000","95716791"
"KR7138930003","138930","BNK금융지주보통주","BNK금융지주","BNK Financial Group Inc.","2011/03/30","KOSPI","주권",,"보통주","5000","322088438"
"KR7001461003","001465","BYC1우선주","BYC우","BYC(1P)","1989/09/05","KOSPI","주권",,"구형우선주","500","2153850"
"KR7001460005","001460","BYC보통주","BYC","BYC","1975/06/02","KOSPI","주권",,"보통주","500","6246150"
"KR7001041003","001045","CJ1우선주","CJ우","CJ(1P)","1989/08/18","KOSPI","주권",,"구형우선주","5000","2260223"
"KR700104K010","00104K","CJ4우선주(전환)","CJ4우(전환)","CJ(4PC)","2019/08/09","KOSPI","주권",,"신형우선주","5000","4226512"
"KR7001040005","001040","CJ보통주","CJ","CJ Corp.","1973/06/29","KOSPI","주권",,"보통주","5000","29176998"
"KR7011151008","011155","CJ씨푸드1우선주","CJ씨푸드1우","CJSEAFOODCORPORATION(1P)","1990/01/13","KOSPI","주권",,"구형우선주","500","200000"
"KR7011150000","011150","CJ씨푸드보통주","CJ씨푸드","CJSEAFOODCORPORATION","1988/11/26","KOSPI","주권",,"보통주","500","35930773"
"KR7058820002","058820","CMG제약","CMG제약","CMG Pharmaceutical Co., Ltd.","2001/08/31","KOSDAQ","주권","우량기업부","보통주","500","138892244"
"KR7000590000","000590","CS홀딩스보통주","CS홀딩스","CSHOLDINGS","1975/12/22","KOSPI","주권",,"보통주","5000","1154482"
"KR7012030003","012030","DB Inc.보통주","DB","DB Inc.","1993/01/06","KOSPI","주권",,"보통주","500","201173933"
"KR7016610008","016610","DB금융투자보통주","DB금융투자","DB Financial Investment Co., LTD.","1988/06/27","KOSPI","주권",,"보통주","5000","42446389"
"KR7005830005","005830","DB손해보험보통주","DB손해보험","DB INSURANCE","1973/06/28","KOSPI","주권",,"보통주","500","70800000"
"KR7000990002","000990","DB하이텍보통주","DB하이텍","DB HiTek Co.,LTD","1975/12/12","KOSPI","주권",,"보통주","5000","44398588"
"KR7139130009","139130","DGB금융지주보통주","DGB금융지주","DGB Financial Group","2011/06/07","KOSPI","주권",,"보통주","5000","169145833"
"KR7001530005","001530","DI동일보통주","DI동일","DI DONGIL","1964/01/04","KOSPI","주권",,"보통주","500","25215672"
"KR7000211003","000215","DL1우선주","DL우","DL(1P)","1989/08/21","KOSPI","주권",,"구형우선주","5000","1686115"
"KR7000210005","000210","DL보통주","DL","DL","1976/02/02","KOSPI","주권",,"보통주","5000","20955884"
"KR737550K011","37550K","DL이앤씨1우선주","DL이앤씨우","DL E&C CO., LTD.(1P)","2021/01/25","KOSPI","주권",,"종류주권","5000","2113885"
"KR737550K029","37550L","DL이앤씨2우선주(전환)","DL이앤씨2우(전환)","DL E&C(2PC)","2022/04/28","KOSPI","주권",,"신형우선주","5000","2111951"
"KR7375500006","375500","DL이앤씨보통주","DL이앤씨","DL E&C CO., LTD.","2021/01/25","KOSPI","주권",,"보통주","5000","38693623"
"KR7155660004","155660","DSR보통주","DSR","DSR CORP","2013/05/15","KOSPI","주권",,"보통주","500","16000000"
"KR7069730000","069730","DSR제강보통주","DSR제강","DSRWIRECORP","2003/01/28","KOSPI","주권",,"보통주","500","14400000"
"KR7017860008","017860","DS단석보통주","DS단석","DS Dansuk","2023/12/22","KOSPI","주권",,"보통주","500","5861404"
"KR7017940008","017940","E1보통주","E1","E1Corporation","1997/08/27","KOSPI","주권",,"보통주","5000","6860000"
"KR7365550003","365550","ESR켄달스퀘어리츠보통주","ESR켄달스퀘어리츠","ESR KENDALL SQUARE REIT","2020/12/23","KOSPI","부동산투자회사",,"보통주","1000","213089000"
"KR7050120005","050120","ES큐브","ES큐브","ES CUBE","2002/04/25","KOSDAQ","주권","중견기업부","보통주","5000","13564086"
"KR7383220001","383220","F&F보통주","F&F","F&F","2021/05/21","KOSPI","주권",,"보통주","100","38307075"
"KR7007700008","007700","F&F홀딩스","F&F홀딩스","F&F Holdings","1984/10/04","KOSPI","주권",,"보통주","500","39114367"
"KR7078931003","078935","GS1우선주","GS우","GS Holdings(1P)","2004/08/05","KOSPI","주권",,"구형우선주","5000","1784826"
"KR7006360002","006360","GS건설보통주","GS건설","GS Engineering & Construction Corp","1981/08/03","KOSPI","주권",,"보통주","5000","85581490"
"KR7078930005","078930","GS보통주","GS","GS Holdings","2004/08/05","KOSPI","주권",,"보통주","5000","92915378"
"KR7012630000","012630","HDC보통주","HDC","HDC HOLDINGS CO.,Ltd","1996/10/16","KOSPI","주권",,"보통주","5000","59741721"
"KR7294870001","294870","HDC현대산업개발보통주","HDC현대산업개발","HYUNDAI DEVELOPMENT COMPANY","2018/06/12","KOSPI","주권",,"보통주","5000","65907330"
"KR7097230007","097230","HJ중공업보통주","HJ중공업","HJ SHIPBUILDING & CONSTRUCTION","2007/08/31","KOSPI","주권",,"보통주","5000","83274281"
"KR7014790000","014790","HL D&I보통주","HL D&I","HL D&I HALLA CORPORATION","1994/08/12","KOSPI","주권",,"보통주","5000","37858601"
"KR7024850000","024850","HLB이노베이션","HLB이노베이션","HLB innoVation","2001/01/18","KOSDAQ","주권","중견기업부","보통주","500","72378055"
"KR7204320006","204320","HL만도보통주","HL만도","HL Mando","2014/10/06","KOSPI","주권",,"보통주","1000","46957120"
"KR7060980000","060980","HL홀딩스보통주","HL홀딩스","HL Holdings Corporation","2010/05/19","KOSPI","주권",,"보통주","5000","10169410"
"KR7035000009","035000","HS애드보통주","HS애드","HS Ad","1999/08/11","KOSPI","주권",,"보통주","1000","16567409"
"KR7003560000","003560","IHQ보통주","IHQ","IHQ","1973/12/18","KOSPI","주권",,"보통주","500","5527902"
"KR7175330000","175330","JB금융지주보통주","JB금융지주","JB Financial Group Co., Ltd.","2013/07/18","KOSPI","주권",,"보통주","5000","195083198"
"KR7234080000","234080","JW생명과학보통주","JW생명과학","JW LIFESCIENCE","2016/10/27","KOSPI","주권",,"보통주","2500","15834554"
"KR7001061001","001065","JW중외제약1우선주","JW중외제약우","JWPHARMACEUTICAL(1P)","1994/10/21","KOSPI","주권",,"구형우선주","2500","341951"
"KR7001062009","001067","JW중외제약2우선주(신형)","JW중외제약2우B","JWPHARMACEUTICAL(2PB)","1998/04/13","KOSPI","주권",,"신형우선주","2500","209973"
"KR7001060003","001060","JW중외제약보통주","JW중외제약","JWPHARMACEUTICAL","1976/06/14","KOSPI","주권",,"보통주","2500","23285930"
"KR7096760004","096760","JW홀딩스 보통주","JW홀딩스","JW HOLDINGS CORPORATION","2007/07/31","KOSPI","주권",,"보통주","500","73924942"
"KR7105560007","105560","KB금융지주 보통주","KB금융","KB Financial Group","2008/10/10","KOSPI","주권",,"보통주","5000","403511072"
"KR7432320000","432320","KB스타리츠보통주","KB스타리츠","KB STAR REIT","2022/10/06","KOSPI","부동산투자회사",,"보통주","500","101414285"
"KR7024120008","024120","KB오토시스","KB오토시스","KB Autosys Co.,Ltd","1994/12/07","KOSDAQ","주권","중견기업부","보통주","500","11500000"
"KR7009070004","009070","KCTC 보통주","KCTC","KCTC","1978/09/29","KOSPI","주권",,"보통주","500","30000000"
"KR7044180008","044180","KD","KD","KD Corporation","2000/11/16","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","26717799"
"KR7003620002","003620","KG모빌리티보통주","KG모빌리티","KG Mobility","1975/05/29","KOSPI","주권",,"보통주","5000","195193522"
"KR7016380008","016380","KG스틸보통주","KG스틸","KG DONGBUSTEEL","1986/02/03","KOSPI","주권",,"보통주","5000","100008897"
"KR7001390004","001390","KG케미칼보통주","KG케미칼","KG Chemical","1989/08/25","KOSPI","주권",,"보통주","1000","68469040"
"KR7033180001","033180","KH 필룩스보통주","KH 필룩스","KH FEELUX Co.,Ltd.","2001/12/26","KOSPI","주권",,"보통주","500","18658120"
"KR7001940006","001940","KISCO홀딩스보통주","KISCO홀딩스","KISCO Holdings","1989/11/13","KOSPI","주권",,"보통주","1000","16176380"
"KR7025000001","025000","KPX케미칼보통주","KPX케미칼","KPXCHEMICAL","1994/12/27","KOSPI","주권",,"보통주","5000","4840000"
"KR7092230002","092230","KPX홀딩스보통주","KPX홀딩스","KPXHOLDINGS","2006/10/12","KOSPI","주권",,"보통주","5000","4224646"
"KR7000040006","000040","KR모터스보통주","KR모터스","KR MOTORS","1976/05/25","KOSPI","주권",,"보통주","500","29132868"
"KR7093050003","093050","LF보통주","LF","LF","2006/12/01","KOSPI","주권",,"보통주","5000","29240000"
"KR7003551009","003555","LG1우선주","LG우","LG Corp.(1P)","1988/11/18","KOSPI","주권",,"구형우선주","5000","3021620"
"KR7034220004","034220","LG디스플레이보통주","LG디스플레이","LG Display","2004/07/23","KOSPI","주권",,"보통주","5000","500000000"
"KR7003550001","003550","LG보통주","LG","LG Corp.","1970/02/13","KOSPI","주권",,"보통주","5000","157300993"
"KR7051901007","051905","LG생활건강1우선주","LG생활건강우","LG H&H(1P)","2001/04/25","KOSPI","주권",,"구형우선주","5000","2099697"
"KR7051900009","051900","LG생활건강보통주","LG생활건강","LG H&H","2001/04/25","KOSPI","주권",,"보통주","5000","15618197"
"KR7373220003","373220","LG에너지솔루션보통주","LG에너지솔루션","LG Energy Solution","2022/01/27","KOSPI","주권",,"보통주","500","234000000"
"KR7032640005","032640","LG유플러스보통주","LG유플러스","LG Uplus","2008/04/21","KOSPI","주권",,"보통주","5000","436611361"
"KR7011070000","011070","LG이노텍보통주","LG이노텍","LG Innotek","2008/07/24","KOSPI","주권",,"보통주","5000","23667107"
"KR7066571001","066575","LG전자1우선주","LG전자우","LGELECTRONICS(1P)","2002/04/22","KOSPI","주권",,"구형우선주","5000","17185992"
"KR7066570003","066570","LG전자보통주","LG전자","LGELECTRONICS","2002/04/22","KOSPI","주권",,"보통주","5000","163647814"
"KR7051911006","051915","LG화학1우선주","LG화학우","LGCHEM,LTD(1P)","2001/04/25","KOSPI","주권",,"구형우선주","5000","7688800"
"KR7051910008","051910","LG화학보통주","LG화학","LGCHEM,LTD","2001/04/25","KOSPI","주권",,"보통주","5000","70592343"
"KR7079550000","079550","LIG넥스원보통주","LIG넥스원","LIG Nex1 Co., Ltd.","2015/10/02","KOSPI","주권",,"보통주","5000","22000000"
"KR7010120004","010120","LS ELECTRIC보통주","LS ELECTRIC","LS ELECTRIC","1994/07/11","KOSPI","주권",,"보통주","5000","30000000"
"KR7000680009","000680","LS네트웍스보통주","LS네트웍스","LSNetworks","1973/11/15","KOSPI","주권",,"보통주","5000","78803016"
"KR7006260004","006260","LS보통주","LS","LS","1977/06/30","KOSPI","주권",,"보통주","5000","32200000"
"KR7229640008","229640","LS에코에너지보통주","LS에코에너지","LS Eco Energy","2016/09/22","KOSPI","주권",,"보통주","500","30624879"
"KR7108320003","108320","LX세미콘보통주","LX세미콘","LX Semicon","2022/11/03","KOSPI","주권",,"보통주","500","16264300"
"KR7001120005","001120","LX인터내셔널보통주","LX인터내셔널","LX INTERNATIONAL CORP.","1976/01/30","KOSPI","주권",,"보통주","5000","38760000"
"KR7086960002","086960","MDS테크","MDS테크","MDS Tech","2006/09/26","KOSDAQ","주권","중견기업부","보통주","200","87671788"
"KR7023150006","023150","MH에탄올보통주","MH에탄올","MHETHANOL","1996/12/24","KOSPI","주권",,"보통주","500","7378526"
"KR7035420009","035420","NAVER보통주","NAVER","NAVER","2008/11/28","KOSPI","주권",,"보통주","100","162408594"
"KR7181710005","181710","NHN보통주","NHN","NHN","2013/08/29","KOSPI","주권",,"보통주","500","33766123"
"KR7338100001","338100","NH프라임리츠보통주","NH프라임리츠","NH Prime REIT","2019/12/05","KOSPI","부동산투자회사",,"보통주","500","18660000"
"KR7034310003","034310","NICE보통주","NICE","NICEHoldings","2004/02/04","KOSPI","주권",,"보통주","500","37503477"
"KR7008260002","008260","NI스틸보통주","NI스틸","NI STEEL","1975/06/28","KOSPI","주권",,"보통주","500","28600117"
"KR7004251005","004255","NPC1우선주","NPC우","NPC(1P)","1990/01/15","KOSPI","주권",,"구형우선주","500","5280000"
"KR7004250007","004250","NPC보통주","NPC","NPC","1969/09/08","KOSPI","주권",,"보통주","500","36720000"
"KR7456040005","456040","OCI보통주","OCI","OCI","2023/05/30","KOSPI","주권",,"보통주","5000","8952495"
"KR7010951002","010955","S-Oil1우선주","S-Oil우","S-Oil(1P)","1992/05/28","KOSPI","주권",,"구형우선주","2500","4021927"
"KR7010950004","010950","S-Oil보통주","S-Oil","S-OilCorporation","1987/05/27","KOSPI","주권",,"보통주","2500","112582792"
"KR8392070007","950110","SBI핀테크솔루션즈","SBI핀테크솔루션즈","SBI FinTech Solutions Co., Ltd.","2012/12/17","KOSDAQ","주식예탁증권","외국기업(소속부없음)","보통주","무액면","24052540"
"KR7005090006","005090","SGC에너지보통주","SGC에너지","SGC Energy","1993/01/06","KOSPI","주권",,"보통주","5000","14409333"
"KR7001380005","001380","SG글로벌보통주","SG글로벌","SG GLOBAL","1976/06/29","KOSPI","주권",,"보통주","500","44964143"
"KR7001770007","001770","SHD보통주","SHD","SHIN HWA DYNAMICS","1988/11/23","KOSPI","주권",,"보통주","5000","1214878"
"KR7002360006","002360","SH에너지화학보통주","SH에너지화학","SH ENERGY & CHEMICAL","1985/12/23","KOSPI","주권",,"보통주","500","111133730"
"KR7009160003","009160","SIMPAC보통주","SIMPAC","SIMPACInc","1989/07/29","KOSPI","주권",,"보통주","500","65429516"
"KR7123700007","123700","SJM보통주","SJM","SJM CO.,LTD","2010/05/31","KOSPI","주권",,"보통주","500","15604898"
"KR7025530007","025530","SJM홀딩스보통주","SJM홀딩스","SJM HOLDINGS","1997/02/12","KOSPI","주권",,"보통주","500","14934008"
"KR703473K016","03473K","SK1우선주","SK우","SK(1P)","2015/08/17","KOSPI","주권",,"종류주권","200","566135"
"KR7011790003","011790","SKC보통주","SKC","SKC","1997/07/18","KOSPI","주권",,"보통주","5000","37868298"
"KR7018670000","018670","SK가스보통주","SK가스","SKGas","1997/08/27","KOSPI","주권",,"보통주","5000","9230244"
"KR7001740000","001740","SK네트웍스보통주","SK네트웍스","SKNetworksCo.,Ltd","1977/06/30","KOSPI","주권",,"보통주","2500","221277902"
"KR7210980009","210980","SK디앤디보통주","SK디앤디","SK D&D Co., Ltd","2015/06/23","KOSPI","주권",,"보통주","1000","17078130"
"KR7395400005","395400","SK리츠보통주","SK리츠","SK REIT","2021/09/14","KOSPI","부동산투자회사",,"보통주","500","270132679"
"KR7034730002","034730","SK보통주","SK","SK","2009/11/11","KOSPI","주권",,"보통주","200","73198329"
"KR7402340004","402340","SK스퀘어보통주","SK스퀘어","SKSQUARE","2021/11/29","KOSPI","주권",,"보통주","100","134749960"
"KR7260870001","260870","SK시그넷","SK시그넷","SK Signet","2017/08/30","KONEX","주권","일반기업부","보통주","500","6128210"
"KR7361610009","361610","SK아이이테크놀로지보통주","SK아이이테크놀로지","SK ie technology","2021/05/11","KOSPI","주권",,"보통주","1000","71297592"
"KR7100090000","100090","SK오션플랜트보통주","SK오션플랜트","SKoceanplant","2023/04/19","KOSPI","주권",,"보통주","500","59195568"
"KR7096771001","096775","SK이노베이션 1우선주","SK이노베이션우","SK Innovation(1P)","2007/07/25","KOSPI","주권",,"구형우선주","5000","1248426"
"KR7096770003","096770","SK이노베이션 보통주","SK이노베이션","SK Innovation","2007/07/25","KOSPI","주권",,"보통주","5000","95735590"
"KR7001511005","001515","SK증권1우선주","SK증권우","SKSecurities(1P)","1989/08/29","KOSPI","주권",,"구형우선주","500","3912514"
"KR7001510007","001510","SK증권보통주","SK증권","SKSecurities","1986/09/20","KOSPI","주권",,"보통주","500","472590171"
"KR728513K010","28513K","SK케미칼1우선주","SK케미칼우","SKCHEMICALS(1P)","2018/01/05","KOSPI","주권",,"종류주권","5000","2115429"
"KR7285130001","285130","SK케미칼보통주","SK케미칼","SKCHEMICALS","2018/01/05","KOSPI","주권",,"보통주","5000","17253783"
"KR7017670001","017670","SK텔레콤보통주","SK텔레콤","SKTelecom","1989/11/07","KOSPI","주권",,"보통주","100","214790053"
"KR7003570009","003570","SNT다이내믹스보통주","SNT다이내믹스","SNT DYNAMICS","1976/07/08","KOSPI","주권",,"보통주","2500","33252697"
"KR7064960008","064960","SNT모티브보통주","SNT모티브","SNT MOTIV","2002/03/11","KOSPI","주권",,"보통주","5000","14623136"
"KR7100840008","100840","SNT에너지보통주","SNT에너지","SNTEnergy Co.,Ltd.","2008/02/22","KOSPI","주권",,"보통주","500","20680783"
"KR7036530004","036530","SNT홀딩스보통주","SNT홀딩스","SNT Holdings","2002/10/22","KOSPI","주권",,"보통주","500","16303886"
"KR7005610001","005610","SPC삼립보통주","SPC삼립","SPC SAMLIP","1975/05/02","KOSPI","주권",,"보통주","5000","8629009"
"KR7465770006","465770","STX그린로지스보통주","STX그린로지스","STX Green Logis","2023/09/15","KOSPI","주권",,"보통주","2500","7171032"
"KR7011810009","011810","STX보통주","STX","STX","1990/09/12","KOSPI","주권",,"보통주","2500","31017927"
"KR7077970002","077970","STX엔진보통주","STX엔진","STXEngineCo.,Ltd","2004/05/10","KOSPI","주권",,"보통주","2500","23008904"
"KR7071970008","071970","STX중공업보통주","STX중공업","STX Heavy Industries","2009/05/15","KOSPI","주권",,"보통주","2500","28552669"
"KR7084870005","084870","TBH글로벌보통주","TBH글로벌","TBH GLOBAL","2005/12/19","KOSPI","주권",,"보통주","500","20856819"
"KR7002710002","002710","TCC스틸보통주","TCC스틸","TCC STEEL","1984/12/21","KOSPI","주권",,"보통주","1000","26213697"
"KR7024070005","024070","WISCOM보통주","WISCOM","WISCOM","1996/11/22","KOSPI","주권",,"보통주","500","15326438"
"KR7079940003","079940","가비아","가비아","GABIA, Inc.","2005/10/19","KOSDAQ","주권","우량기업부","보통주","500","13535684"
"KR7078890001","078890","가온그룹","가온그룹","KAON Group","2005/07/12","KOSDAQ","주권","중견기업부","보통주","500","17410157"
"KR7000500009","000500","가온전선보통주","가온전선","GAONCABLE","1987/06/08","KOSPI","주권",,"보통주","5000","7357946"
"KR7399720002","399720","가온칩스","가온칩스","GAONCHIPS CO., LTD.","2022/05/20","KOSDAQ","주권","벤처기업부","보통주","500","11488320"
"KR7296520000","296520","가이아코퍼레이션","가이아코퍼레이션","GAIA CORPORATION","2023/06/20","KONEX","주권","일반기업부","보통주","500","4667008"
"KR7036620003","036620","감성코퍼레이션","감성코퍼레이션","GAMSUNG Corporation","2000/01/11","KOSDAQ","주권","우량기업부","보통주","500","90744892"
"KR7000860007","000860","강남제비스코보통주","강남제비스코","KANGNAM JEVISCO","1975/11/12","KOSPI","주권",,"보통주","1000","6500000"
"KR7217730001","217730","강스템바이오텍","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","55937925"
"KR7035250000","035250","강원랜드보통주","강원랜드","Kangwon Land, Inc.","2003/09/04","KOSPI","주권",,"보통주","500","213940500"
"KR7114190002","114190","강원에너지","강원에너지","KANGWON ENERGY","2009/11/20","KOSDAQ","주권","우량기업부","보통주","500","26123038"
"KR7094480001","094480","갤럭시아머니트리","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","2007/07/20","KOSDAQ","주권","중견기업부","보통주","500","39229838"
"KR7011420007","011420","갤럭시아에스엠보통주","갤럭시아에스엠","GALAXIA SM","1989/11/14","KOSPI","주권",,"보통주","500","27549644"
"KR7039240007","039240","경남스틸","경남스틸","Kyeong Nam Steel Co., LTD","2000/03/07","KOSDAQ","주권","우량기업부","보통주","100","26979604"
"KR7053950002","053950","경남제약","경남제약","KYUNG NAM PHARM.CO.,LTD.","2001/11/06","KOSDAQ","주권","중견기업부","보통주","500","35593402"
"KR7002100006","002100","경농보통주","경농","Kyungnong","1977/06/30","KOSPI","주권",,"보통주","500","19522575"
"KR7009450008","009450","경동나비엔보통주","경동나비엔","KYUNGDONGNAVIEN","1993/08/31","KOSPI","주권",,"보통주","1000","14568592"
"KR7267290005","267290","경동도시가스보통주","경동도시가스","KYUNGDONG CITY GAS","2017/05/12","KOSPI","주권",,"보통주","2500","5895406"
"KR7012320008","012320","경동인베스트보통주","경동인베스트","KYUNGDONG INVEST","1997/03/07","KOSPI","주권",,"보통주","5000","2365023"
"KR7011040003","011040","경동제약","경동제약","KyungdongPharm","1992/12/18","KOSDAQ","주권","중견기업부","보통주","500","30768766"
"KR7000050005","000050","경방보통주","경방","Kyungbang","1956/03/03","KOSPI","주권",,"보통주","500","27415270"
"KR7214390007","214390","경보제약보통주","경보제약","KYONGBO PHARMACEUTICAL CO., LTD.","2015/06/29","KOSPI","주권",,"보통주","500","23906860"
"KR7012610002","012610","경인양행보통주","경인양행","KyunginSynthetic","1995/10/05","KOSPI","주권",,"보통주","500","41616365"
"KR7009140005","009140","경인전자보통주","경인전자","KyunginElectronics","1989/06/20","KOSPI","주권",,"보통주","5000","1570797"
"KR7024910002","024910","경창산업","경창산업","KyungchangIndustrial","1994/12/29","KOSDAQ","주권","우량기업부","보통주","500","35819005"
"KR7013580006","013580","계룡건설산업보통주","계룡건설","KyeryongConstructionIndustrial","1996/01/30","KOSPI","주권",,"보통주","5000","8930907"
"KR7012201000","012205","계양전기1우선주","계양전기우","KeyangElectricMachinery(1P)","1989/08/02","KOSPI","주권",,"구형우선주","500","1169079"
"KR7012200002","012200","계양전기보통주","계양전기","KeyangElectricMachinery","1988/07/06","KOSPI","주권",,"보통주","500","27222829"
"KR7002140002","002140","고려산업보통주","고려산업","KoreaIndustrial","1991/01/14","KOSPI","주권",,"보통주","1000","24939425"
"KR7198440000","198440","고려시멘트","고려시멘트","KOREA CEMENT co., Ltd.","2014/08/13","KOSDAQ","주권","중견기업부","보통주","100","31979960"
"KR7049720006","049720","고려신용정보","고려신용정보","KORYO CREDIT INFORMATION CO., LTD.","2002/01/31","KOSDAQ","주권","우량기업부","보통주","500","14300000"
"KR7010130003","010130","고려아연보통주","고려아연","KoreaZinc","1990/07/28","KOSPI","주권",,"보통주","5000","20908588"
"KR7002240000","002240","고려제강보통주","고려제강","KISWire","1976/05/25","KOSPI","주권",,"보통주","1000","25000000"
"KR7014570006","014570","고려제약","고려제약","KOREAN DRUG CO., LTD.","2000/12/07","KOSDAQ","주권","우량기업부","보통주","500","11000000"
"KR7348150004","348150","고바이오랩","고바이오랩","KoBioLabs, Inc","2020/11/18","KOSDAQ","주권","기술성장기업부","보통주","500","18934174"
"KR8344390008","950190","고스트스튜디오","고스트스튜디오","GHOST STUDIO","2020/08/18","KOSDAQ","주식예탁증권","외국기업(소속부없음)","보통주","무액면","13579892"
"KR7098460009","098460","고영테크놀러지","고영","Koh Young Technology Inc.","2008/06/03","KOSDAQ GLOBAL","주권","우량기업부","보통주","100","68654755"
"KR7035290006","035290","골드앤에스","골드앤에스","Gold&S","1999/12/07","KOSDAQ","주권","중견기업부","보통주","500","46450564"
"KR7215000001","215000","골프존","골프존","GOLFZON Co., Ltd.","2015/04/03","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","6275415"
"KR7121440002","121440","골프존뉴딘홀딩스","골프존뉴딘홀딩스","GOLFZON NEWDIN HOLDINGS Co., Ltd.","2011/05/20","KOSDAQ","주권","우량기업부","보통주","500","42836818"
"KR7366030005","366030","공구우먼","공구우먼","09women Co., Ltd.","2022/03/23","KOSDAQ","주권","중견기업부","보통주","100","22653850"
"KR7076340009","076340","관악산업","관악산업","GWANAK CONSTRUCTION AND EQUIPMENT SERVICE","2015/05/18","KONEX","주권","일반기업부","보통주","500","4871460"
"KR7009290008","009290","광동제약보통주","광동제약","KwangdongPharmaceutical","1989/11/17","KOSPI","주권",,"보통주","1000","52420851"
"KR7086220001","086220","광동헬스바이오","광동헬스바이오","KwangdongHealthbio","2015/07/09","KONEX","주권","일반기업부","보통주","500","10573865"
"KR7014200000","014200","광림","광림","KANGLIM Co., LTD.","1993/07/07","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","90706696"
"KR7017040007","017040","광명전기보통주","광명전기","KWANG MYUNG ELECTRIC","1990/09/14","KOSPI","주권",,"보통주","500","43337615"
"KR7029480001","029480","광무","광무","Kwangmu","1996/08/27","KOSDAQ","주권","중견기업부","보통주","500","47907203"
"KR7017900002","017900","광전자보통주","광전자","AUK","1996/10/16","KOSPI","주권",,"보통주","500","57943763"
"KR7037710001","037710","광주신세계보통주","광주신세계","GwangjuShinsegae","2002/02/07","KOSPI","주권",,"보통주","1000","7957190"
"KR7026910000","026910","광진실업","광진실업","KwangjinInd","1996/01/03","KOSDAQ","주권","중견기업부","보통주","500","6405405"
"KR7421800004","421800","교보12호기업인수목적","교보12호스팩","Kyobo 12 Special Purpose Acquisition Company","2022/06/24","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5980000"
"KR7440790004","440790","교보13호기업인수목적","교보13호스팩","Kyobo 13 Special Purpose Acquisition Company","2022/11/02","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4050000"
"KR7456490002","456490","교보14호기업인수목적","교보14호스팩","Kyobo 14 Special Purpose Acquisition Company","2023/07/06","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4200000"
"KR7465320000","465320","교보15호기업인수목적","교보15호스팩","Kyobo 15 Special Purpose Acquisition Company","2023/12/05","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3810000"
"KR7030610000","030610","교보증권보통주","교보증권","KYOBOSECURITIESCO.,LTD.","2002/07/18","KOSPI","주권",,"보통주","5000","113962961"
"KR7339770000","339770","교촌에프앤비보통주","교촌에프앤비","KYOCHON FOOD&BEVERAGE","2020/11/12","KOSPI","주권",,"보통주","500","24982540"
"KR7053270005","053270","구영테크","구영테크","GUYOUNG TECHNOLOGY","2002/02/07","KOSDAQ","주권","우량기업부","보통주","500","27410405"
"KR7007690001","007690","국도화학보통주","국도화학","KukdoChemical","1989/08/05","KOSPI","주권",,"보통주","5000","9010616"
"KR7005320007","005320","국동보통주","국동","Kukdong","1996/12/24","KOSPI","주권",,"보통주","500","67183597"
"KR7066620006","066620","국보디자인","국보디자인","KUKBO DESIGN","2002/09/05","KOSDAQ","주권","우량기업부","보통주","500","7500000"
"KR7001140003","001140","국보보통주","국보","KUKBO","1989/12/02","KOSPI","주권",,"보통주","500","15856388"
"KR7043650001","043650","국순당","국순당","KOOK SOON DANG CO., LTD.","2000/08/24","KOSDAQ","주권","우량기업부","보통주","500","17858304"
"KR7006050009","006050","국영지앤엠","국영지앤엠","KUK YOUNG G&M","1994/10/07","KOSDAQ","주권","중견기업부","보통주","500","34895243"
"KR7060480001","060480","국일신동","국일신동","KUKIL METAL CO., LTD","2014/12/29","KOSDAQ","주권","중견기업부","보통주","500","11090000"
"KR7078130002","078130","국일제지","국일제지","KUK-IL PAPER MFG CO.,LTD","2004/10/22","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","1127405871"
